positive,y_true
0.8732665,1
0.6699833,1
0.5668894,1
0.76326764,1
0.7674566,1
0.6383013,1
0.57403165,1
0.27511376,1
0.45958447,1
0.6150435,1
0.86697775,1
0.64057267,1
0.6811796,1
0.5503934,1
0.5507842,1
0.536582,1
0.55223817,1
0.7309671,1
0.57929504,1
0.63841796,1
0.84418917,1
0.28174782,1
0.44501838,1
0.87299955,1
0.7853129,1
0.89923394,1
0.6382458,1
0.5237469,1
0.63269836,1
0.73208565,1
0.3209773,1
0.7509798,1
0.33454973,1
0.5289822,1
0.6363915,1
0.51353145,1
0.82763535,1
0.70635635,1
0.25135136,1
0.7026482,1
0.48755193,1
0.87130797,1
0.5107525,1
0.52876514,1
0.6231904,1
0.83177394,1
0.7086217,1
0.9653985,1
0.7373304,1
0.5549334,1
0.6243317,1
0.80147046,1
0.70796245,1
0.7133837,1
0.84986496,1
0.4765721,1
0.7604555,1
0.6534814,1
0.7198954,1
0.7477111,1
0.8834207,1
0.8328596,1
0.6699256,1
0.7029752,1
0.54596114,1
0.9225866,1
0.83612776,1
0.4547437,1
0.3880155,1
0.7543729,1
0.88349235,1
0.7056693,1
0.48937312,1
0.85600495,1
0.7560227,1
0.9099154,1
0.92913705,1
0.8849427,1
0.63382316,1
0.42432052,1
0.63211966,1
0.47397217,1
0.7318858,1
0.8507654,1
0.5513148,1
0.5093414,1
0.5193795,1
0.7213625,1
0.36603525,1
0.64019585,1
0.41496032,1
0.80148715,1
0.85941404,1
0.6631968,1
0.44803837,1
0.8445532,1
0.6074365,1
0.7559098,1
0.70636076,1
0.7260723,1
0.35681617,1
0.4927836,1
0.27337417,1
0.65008545,1
0.8375348,1
0.8051732,1
0.45236552,1
0.70254713,1
0.801281,1
0.84418917,1
0.7972199,1
0.44822174,1
0.7038628,1
0.58079225,1
0.8269681,1
0.8255567,1
0.74114716,1
0.025648847,1
0.8485314,1
0.24086066,1
0.92197114,1
0.77919114,1
0.6870025,1
0.49312782,1
0.90794533,1
0.3861941,1
0.77751654,1
0.6238392,1
0.8513657,1
0.47850686,1
0.8880954,1
0.4616475,1
0.6662188,1
0.78946745,1
0.91098946,1
0.2867632,1
0.5765726,1
0.9143161,1
0.88957655,1
0.47785708,1
0.7453672,1
0.1241851,1
0.6577979,1
0.6215578,1
0.76075757,1
0.36906165,1
0.70471764,1
0.6694385,1
0.807185,1
0.70429236,1
0.6532835,1
0.42736667,1
0.6103456,1
0.7973074,1
0.31578732,1
0.7228312,1
0.8924696,1
0.35767165,1
0.6172519,1
0.7769091,1
0.53378344,1
0.78118205,1
0.19254827,1
0.33634037,1
0.63831586,1
0.50460476,1
0.37888098,1
0.74387735,1
0.80446416,1
0.91141033,1
1,1
